Rank,State or union territory,Population (%),Decadal growth(20012011) (%),Rural population,Percent rural,Urban population,Percent urban,Area[16] (km),Density[a],Sex ratio
1,Uttar Pradesh,,20.2,155317278,,44495063,,240928,828,912
2,Maharashtra,,20,61556074,,50818259,,307713,365,929
3,Bihar,,25.4,92341436,,11758016,,94163,1102,918
4,West Bengal,,13.8,62183113,,29093002,,88752,1029,953
5,Madhya Pradesh,,16.3,52557404,,20069405,,308245,236,931
6,Tamil Nadu,,15.6,37229590,,34917440,,130058,555,996
7,Rajasthan,,21.3,51500352,,17048085,,342239,201,928
8,Karnataka,,15.6,37469335,,23625962,,191791,319,973
9,Gujarat,,19.3,34694609,,25745083,,196024,308,919
10,Andhra Pradesh,,11,34966693,,14610410,,162968,303,993
11,Odisha,,14,34970562,,7003656,,155707,269,979
12,Telangana,,13.58,21395009,,13608665,,112077,312,988
13,Kerala,,4.9,17471135,,15934926,,38863,859,1084
14,Jharkhand,,22.4,25055073,,7933061,,79714,414,948
15,Assam,,17.1,26807034,,4398542,,78438,397,954
16,Punjab,,13.9,17344192,,10399146,,50362,550,895
17,Chhattisgarh,,22.6,19607961,,5937237,,135191,189,991
18,Haryana,,19.9,16509359,,8842103,,44212,573,879
19,Uttarakhand,,18.8,7036954,,3049338,,53483,189,963
20,Himachal Pradesh,,12.9,6176050,,688552,,55673,123,972
21,Tripura,,14.8,2712464,,961453,,10486,350,960
22,Meghalaya,,27.9,2371439,,595450,,22429,132,989
23,Manipur,,18.6,1793875,,776515,,22327,122,992
24,Nagaland,,0.6,1407536,,570966,,16579,119,931
25,Goa,,8.2,551731,,906814,,3702,394,973
26,Arunanchal Pradesh,,26,1066358,,317369,,83743,17,938
27,Mizoram,,23.5,525435,,571771,,21081,52,976
28,Sikkim,,12.9,456999,,153578,,7096,86,890
,NCT of Delhi,,21.2,419042,,16368899,,1484,11297,868
,Jammu & Kashmir,,23.6,9064220,,3202812,,42241,297,890
,Puducherry,,28.1,395200,,852753,,479,2598,1037
,Chandigarh,,17.2,28991,,1026459,,114,9252,818
,Dadara & Nagar Havelli,,55.1,243510,,342254,,603,970,711
,Daman & Diu,,55.1,243510,,342254,,603,970,711
,Andaman & Nicobar Island,,6.9,237093,,143488,,8249,46,876
,Lakshadweep,,6.3,14141,,50332,,32,2013,946
